	table.gene	table.logFC	table.logCPM	table.F	table,PValue	table.FDR	adjust.method	comparison	test
3189	ARHGAP6	4.22716373121302	3.83866598009494	26.1241231562995	1,51E-05	0.0050558285228942	BH	1*groupCardiac_Myocyte:h -1*groupa:h	glm
6037	CFD	7.33609188525509	6.18719125062438	25.2161533642881	1,96E-05	0.006222475606556	BH	1*groupCardiac_Myocyte:h -1*groupa:h	glm
1983	CALB2	5.53384250222306	2.97333025183245	25.1340997285215	2,00E-05	0.006222475606556	BH	1*groupCardiac_Myocyte:h -1*groupa:h	glm
7791	MAPK10	3.43790708695232	4.88518588905585	25.1066793877405	2,02E-05	0.006222475606556	BH	1*groupCardiac_Myocyte:h -1*groupa:h	glm
2328	DSC3	5.12259814866557	2.62346236911766	24.8062797698005	2,20E-05	0.00661172609960366	BH	1*groupCardiac_Myocyte:h -1*groupa:h	glm
1718	CCNYL1	2.79699551000671	5.2719433448282	24.4255561514831	2,46E-05	0.00719989632147378	BH	1*groupCardiac_Myocyte:h -1*groupa:h	glm
6679	MOV10L1	2.9310883250128	1.99760209731094	24.1962605511492	2,63E-05	0.00751078246495884	BH	1*groupCardiac_Myocyte:h -1*groupa:h	glm
3543	CSGALNACT1	4.13392691976141	2.97027877871994	24.0598795076055	2,74E-05	0.00763095654738437	BH	1*groupCardiac_Myocyte:h -1*groupa:h	glm
9599	PKDCC	3.21722967572068	5.49121288992685	23.9751013572775	2,80E-05	0.0076414181715686	BH	1*groupCardiac_Myocyte:h -1*groupa:h	glm
10323	LRIG1	-3.13247944702921	5.37780837109555	23.2057155148857	3,52E-05	0.00937897112208272	BH	1*groupCardiac_Myocyte:h -1*groupa:h	glm
5381	STON1	2.96041008264883	5.39060657364505	22.8298715367011	3,94E-05	0.0102633460173257	BH	1*groupCardiac_Myocyte:h -1*groupa:h	glm
5230	SAMM50	1.4523138174513	6.7713460908386	22.7512033977107	4,04E-05	0.0102807315895859	BH	1*groupCardiac_Myocyte:h -1*groupa:h	glm
7734	VSIR	3.07909493806216	4.17979389516797	22.6234810230267	4,19E-05	0.0104570524573151	BH	1*groupCardiac_Myocyte:h -1*groupa:h	glm
2373	PTX3	4.55332740341118	7.03824731717857	22.1353643394071	4,86E-05	0.0118736013108317	BH	1*groupCardiac_Myocyte:h -1*groupa:h	glm
7428	POSTN	7.17585169641749	8.22462650798641	21.7837003507968	5,42E-05	0.012952709000359	BH	1*groupCardiac_Myocyte:h -1*groupa:h	glm
8423	HPSE	3.30485380462995	2.90700705684625	20.9158786291618	7,09E-05	0.0166099489207588	BH	1*groupCardiac_Myocyte:h -1*groupa:h	glm
