table.gene	log*sign
GBA2	-7,715316277
TIMM8B	7,70587767
INPP5D	-7,698797685
ATOX1	7,697897898
LRMP	-7,68241134
ZNF446	7,679881889
RNF144B	-7,67732382
SMO	7,656462335
FBXL17	-7,656457338
SPI1	-7,651516325
EPC1	-7,64979517
RAB11FIP4	-7,64612425
EFEMP1	7,640782505
PDIA6	7,631492064
PSD4	-7,627062107
SLCO4A1	-7,618741674
C19orf53	7,616696718
FGD2	-7,614609655
GLG1	7,613795653
SQLE	7,613567358
SYK	-7,596499419
CCN4	7,581107336
GIMAP6	-7,565371274
KAT6A	-7,561475668
GPR34	-7,552185982
MYLK	-7,549871208
TTC33	-7,52381088
PHPT1	7,516029759
CAVIN3	7,508866478
PTTG1	7,494656971
FDPS	7,487920473
AFTPH	-7,479893192
RBP7	-7,474028793
LRRC42	7,468232223
IPO5	7,459816257
MRPL51	7,454983168
MDFI	7,451723055
SNRPB	7,445104043
MERTK	-7,443376133
CHN2	-7,443371998
IARS1	7,427397045
CKS2	7,418409953
EIF4E3	-7,418024165
CD86	-7,413242604
RPL18A	7,412688312
RASGEF1B	-7,409879938
AP2S1	7,406155125
CAPZB	7,405110418
SULT1E1	7,404507511
THOC6	7,403767057
HAPLN1	7,402185202
PTPN6	-7,401529291
CTSS	-7,400618935
CCDC84	-7,391459605
MANEAL	-7,388833797
GLI2	7,387062404
PEX1	-7,376453553
RPS8	7,370669993
ARFGEF1	-7,369725015
FKBP14	7,363566849
GADD45G	-7,362337717
KIF20A	7,362318023
ELOVL7	-7,357078993
ALOX5AP	-7,348186511
COLGALT1	7,345507482
TXNRD1	7,33902779
PLLP	-7,338474411
ITGB1	7,328891029
RAMP3	-7,315377596
CARS1	7,314044635
IL16	-7,303620961
ADORA2B	7,299968549
KIF13B	-7,299130022
LAPTM5	-7,293432826
SNAI1	7,269688618
ICA1	-7,26917516
WDR18	7,268391911
RNH1	7,260525324
HLA-DMA	-7,259711567
CYTH1	-7,257752835
RBBP7	7,237620578
CYTH4	-7,216128089
CYFIP2	-7,215673731
MPEG1	-7,203936639
CYSLTR1	-7,202155312
PTPRC	-7,202143604
LSP1	-7,198605313
SURF4	7,193077943
LAMA1	7,188492463
RNF157	-7,181443946
DCBLD2	7,170051115
MPZL1	7,16652289
DLL1	-7,163854194
CUL4B	7,162744356
SEM1	7,160389356
CTSH	-7,159390246
IRF5	-7,159017684
RPS7	7,157377701
RAB32	7,155089538
TNFSF13	-7,154245297
VWCE	7,150106607
MAP2K6	-7,14304888
EPHB1	-7,12861111
YIF1B	7,128366109
TMEM170B	-7,128252399
PLBD2	7,111579122
TXNDC17	7,10613791
CD163	-7,101941888
DHRS3	7,09824054
B3GNT9	7,097505259
