gene	Cardiac_h	Cardiac_h	Cardiac_h	colon_h	colon_h	colon_h	colon_h	colon_h	colon_h	colon_h	Cardiac_m	Cardiac_m	Cardiac_m	colon_m	colon_m
TRAF7	104.83695251500362	72.4356928479924	55.4923518400924	55.0811112397962	27.9231975467172	63.24715861988768	43.2643333072597	49.3357846062749	159.887141695348	44.8303288763902	53.509962695476986	44.12614975056859	58.27094642735088	49.558668710466755	48.95959539415028
MYH11	0.0	0.0	0.255725123687062	0.0	22.26434355884428	1765.7014450511576	69.03379959409742	172.99560835966525	87.21116819746277	55.074575936194215	1.28629718017974	4.29800159908136	1.54701627683232	104.992849690731	44.7102720203184
KLRD1	2.43806866313962	0.0	0.0	98.18806786224539	0.463840490809256	3.538302580133578	1.891336975180756	19.75567132502355	0.0	36.747711930122826	0.0	0.0	0.0	5.3645981593804315	11.639450980496134
HMGB4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NMRAL1	24.3806866313962	40.91275244192163	30.687014842447397	23.948309234694	42.023948467318654	19.902952013251397	27.739608969317683	16.8724111856958	21.8027920493657	18.9847514319304	2.31533492432353	2.86533439938757	1.03134418455488	2.04365644166873	2.77129785249907
PMM1	48.76137326279232	38.22994900310713	26.723275425297892	9.5793236938776	31.17008098238201	41.39814018756282	35.06853974814306	27.017215379626773	21.8027920493657	6.01497075071064	38.3316559693561	64.1834905462816	62.9119952578478	6.64188343542338	16.4430339248278
LIPH	2.43806866313962	0.670700859703634	0.511450247374123	4.7896618469388	0.8349128834566616	22.73359407735826	10.481159070793323	46.77288670465023	0.0	0.5639035078791217	0.0	0.0	0.0	65.14154907819083	29.93001680698992
MAPK1IP1L	104.83695251500355	157.61470203035407	171.08010774664413	215.5347831122454	124.03094724239527	126.84814749778891	213.09063253703115	172.14130905912384	130.81675229619458	174.34016785262867	133.003128430585	91.977234220341	90.7582882408297	200.533788338744	94.408880175135
AKR1A1	36.57102994709423	70.42359026888158	65.3377691020442	50.2914493928574	28.665342332012095	76.1619630373753	100.39847109917818	45.06428810356716	50.8731814485199	44.36040928649093	279.89826640711044	229.2267519510059	236.17781826306842	259.03345398151174	188.448253969937
SPON2	173.10287508291287	154.9318985915395	35.929379878032094	62.2656040102044	3.6179558283122013	35.55994093034245	34.28048267515113	27.978302092736	50.873181448519986	11.84197366546156	558.7674950700778	86.5330988615046	117.05756494697917	12.006481594803782	4.98833613449833
ADGB	0.0	0.0	0.0	0.0	0.0927680981618513	0.5307453870200364	0.078805707299198	4.91222097811396	0.0	0.0	0.0	0.0	0.0	0.0	2.95605104266568
ASPSCR1	12.1903433156981	9.38981203585087	7.4160285869247815	16.7638164642858	8.163592638242914	10.0841623533807	9.37787916860456	7.475118879738629	14.5351946995771	6.860826012529318	29.070316272062083	27.2206767941819	24.75226042931714	34.48670245315984	24.941680672491618
DIABLO	34.13296128395463	57.00957307480884	86.81867949175738	16.7638164642858	39.61197791511049	31.933180785705563	47.91387003791236	21.464269926106653	43.6055840987314	27.91322364001651	17.4936416504444	19.1977404758967	26.8149487984269	12.517395705221	17.5515530658275
PLA2G4D	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.213574825135389	14.5351946995771	0.0	0.0	0.0	0.0	0.0	0.184753190166605
HFE	12.19034331569809	6.70700859703633	2.6851137987141502	0.0	1.391521472427773	3.71521770914026	2.52178263357434	3.52398461473392	0.0	7.14277776646888	4.630669848647047	5.157601918897627	4.12537673821953	6.386426380214788	24.57217429215846
ATAD1	26.8187552945358	30.8522395463672	35.290067068814466	23.948309234694	65.95811779307623	35.11765310782578	55.952052182430585	41.433516076265576	29.0703893991543	34.680065734566	41.93328807385939	59.8854889472002	57.23960224279594	73.5716319000744	66.14164207964453
NDOR1	24.3806866313962	11.4019146149618	6.77671577770713	11.974154617347	13.8224466261158	15.8339040460978	12.6089131678717	10.144804193931	14.5351946995771	18.1388961701118	8.23230195315031	12.6074713573053	11.3447860301037	12.7728527604296	14.5955020231618
UBL3	21.94261796825657	8.048410316443604	5.625952721115351	40.712125698979804	77.92520245595513	55.285977814587056	29.552140237199172	60.44167551331526	94.47876554725141	27.537287968097125	31.128391760349643	36.38974687222218	57.755274335073445	65.39700613339947	127.47970121495719
WNT3	0.0	0.0	0.0	0.0	0.463840490809256	0.0	0.078805707299198	0.0	21.8027920493657	0.0	0.0	0.0	0.0	1.02182822083437	0.0
ERGIC3	46.3233045996527	124.07965904517191	146.01904562531237	62.2656040102044	44.52868711768861	81.64633203658231	77.07198173861559	77.31408669901097	79.9435708476742	49.05960518548361	74.34797701438879	76.21789502370933	91.78963242538458	105.75922085635729	56.71922938114764
RAB10	46.32330459965267	57.68027393451251	87.71371742466206	91.00357509183719	73.9361742349955	57.85124718518398	64.6994856926415	73.89688949684476	116.28155759661705	97.17937119116863	146.63787854048996	96.84830269929988	100.04038590182361	63.86426380214782	54.68694428931498
PMF1-BGLAP	34.1329612839546	63.0458808121416	60.223266628303	50.2914493928574	35.530181595989	40.4251069780261	70.846330861979	39.511342650047	94.4787655472513	51.0332674630605	17.23638221440848	13.467071677121629	4.125376738219531	18.64836503022717	6.466361655831164
ATP2A3	0.0	11.401914614961735	0.511450247374123	83.819082321429	1.1132171779422155	22.910509206364885	4.96475955984947	12.387339857852588	50.87318144852	40.13113297739749	0.514518872071894	1.14613375975503	0.515672092277441	41.894957054209	61.8923187058126
