	table.gene	table.logFC	table.logCPM	table.F	table,PValue	table.FDR	adjust.method	comparison	test
6474	HSD11B1	-5.46833640325887	8.75096195280136	78.2648188681322	2,20E-09	1.11845927618124e-06	BH	0.25*groupastrocite_cerebell:h -1*groupCardiac_Myocyte:h 0.25*groupHepatocyte:h 0.25*groupMeningeal_cells:h 0.25*groupSchwann_cells:h	glm
7854	SULF1	-5.53409081575443	5.66421621688203	69.0570230049443	2,51E-09	1.20173327240993e-06	BH	0.25*groupastrocite_cerebell:h -1*groupCardiac_Myocyte:h 0.25*groupHepatocyte:h 0.25*groupMeningeal_cells:h 0.25*groupSchwann_cells:h	glm
174	GASK1B	-4.60048011333225	4.16162246642993	79.7137782480765	2,56E-09	1.20173327240993e-06	BH	0.25*groupastrocite_cerebell:h -1*groupCardiac_Myocyte:h 0.25*groupHepatocyte:h 0.25*groupMeningeal_cells:h 0.25*groupSchwann_cells:h	glm
7083	GPR158	-6.9227948562993	2.59021529236241	111.482674020199	2,97E-09	1.3366535139395e-06	BH	0.25*groupastrocite_cerebell:h -1*groupCardiac_Myocyte:h 0.25*groupHepatocyte:h 0.25*groupMeningeal_cells:h 0.25*groupSchwann_cells:h	glm
9255	IL1R1	-3.15852349469227	6.4028138499357	67.1065985643242	3,41E-09	1.48040329777437e-06	BH	0.25*groupastrocite_cerebell:h -1*groupCardiac_Myocyte:h 0.25*groupHepatocyte:h 0.25*groupMeningeal_cells:h 0.25*groupSchwann_cells:h	glm
2349	RHOU	-4.4460534530667	6.42352412762194	65.2691538250729	4,58E-09	1.91449881811865e-06	BH	0.25*groupastrocite_cerebell:h -1*groupCardiac_Myocyte:h 0.25*groupHepatocyte:h 0.25*groupMeningeal_cells:h 0.25*groupSchwann_cells:h	glm
1011	ANGPT2	-4.84834152031171	4.32185532479697	64.8639830863699	4,88E-09	1.97359821098516e-06	BH	0.25*groupastrocite_cerebell:h -1*groupCardiac_Myocyte:h 0.25*groupHepatocyte:h 0.25*groupMeningeal_cells:h 0.25*groupSchwann_cells:h	glm
7932	CADM3	-7.15845964266548	5.13961922957354	104.190674815403	5,08E-09	1.98243628196178e-06	BH	0.25*groupastrocite_cerebell:h -1*groupCardiac_Myocyte:h 0.25*groupHepatocyte:h 0.25*groupMeningeal_cells:h 0.25*groupSchwann_cells:h	glm
10291	IRAK3	-4.53576781613615	3.95863963427706	63.6470858243634	5,96E-09	2.25149244471773e-06	BH	0.25*groupastrocite_cerebell:h -1*groupCardiac_Myocyte:h 0.25*groupHepatocyte:h 0.25*groupMeningeal_cells:h 0.25*groupSchwann_cells:h	glm
6704	CD1D	-5.19204290344564	5.71694830617729	63.0667734331884	6,55E-09	2.39982016268821e-06	BH	0.25*groupastrocite_cerebell:h -1*groupCardiac_Myocyte:h 0.25*groupHepatocyte:h 0.25*groupMeningeal_cells:h 0.25*groupSchwann_cells:h	glm
3189	ARHGAP6	-4.45714008043595	3.83951179449742	62.2514459881711	7,50E-09	2.66417469698427e-06	BH	0.25*groupastrocite_cerebell:h -1*groupCardiac_Myocyte:h 0.25*groupHepatocyte:h 0.25*groupMeningeal_cells:h 0.25*groupSchwann_cells:h	glm
460	CD200	-4.87189323444519	4.50839990981941	70.2503352707755	8,64E-09	2.9767507544898e-06	BH	0.25*groupastrocite_cerebell:h -1*groupCardiac_Myocyte:h 0.25*groupHepatocyte:h 0.25*groupMeningeal_cells:h 0.25*groupSchwann_cells:h	glm
9700	PLSCR4	-3.26054368374188	5.23000062320279	61.1304741840815	9,06E-09	3.03142427363721e-06	BH	0.25*groupastrocite_cerebell:h -1*groupCardiac_Myocyte:h 0.25*groupHepatocyte:h 0.25*groupMeningeal_cells:h 0.25*groupSchwann_cells:h	glm
4810	FMO2	-7.36387883874027	4.85403431851883	67.1022246504574	9,93E-09	3.23312375741435e-06	BH	0.25*groupastrocite_cerebell:h -1*groupCardiac_Myocyte:h 0.25*groupHepatocyte:h 0.25*groupMeningeal_cells:h 0.25*groupSchwann_cells:h	glm
4763	AKR1C3	-4.3977854568388	5.68179365348486	63.1980724214751	1,35E-08	4.27068149976342e-06	BH	0.25*groupastrocite_cerebell:h -1*groupCardiac_Myocyte:h 0.25*groupHepatocyte:h 0.25*groupMeningeal_cells:h 0.25*groupSchwann_cells:h	glm
1983	CALB2	-5.91770442349106	2.97886269183159	61.2599228959914	1,42E-08	4.38041312657203e-06	BH	0.25*groupastrocite_cerebell:h -1*groupCardiac_Myocyte:h 0.25*groupHepatocyte:h 0.25*groupMeningeal_cells:h 0.25*groupSchwann_cells:h	glm
11374	NFYB	-2.71009446796552	4.9533771481672	57.6860995665535	1,64E-08	4.92084428589122e-06	BH	0.25*groupastrocite_cerebell:h -1*groupCardiac_Myocyte:h 0.25*groupHepatocyte:h 0.25*groupMeningeal_cells:h 0.25*groupSchwann_cells:h	glm
8663	BTG2	-4.0348228120401	6.80424860779734	56.574175707858	1,99E-08	5.75781625627522e-06	BH	0.25*groupastrocite_cerebell:h -1*groupCardiac_Myocyte:h 0.25*groupHepatocyte:h 0.25*groupMeningeal_cells:h 0.25*groupSchwann_cells:h	glm
3500	TBX18	-4.08366508099254	5.41687007819551	64.1677986434064	2,01E-08	5.75781625627522e-06	BH	0.25*groupastrocite_cerebell:h -1*groupCardiac_Myocyte:h 0.25*groupHepatocyte:h 0.25*groupMeningeal_cells:h 0.25*groupSchwann_cells:h	glm
1528	DEPP1	-5.11210562038453	7.81260879182583	55.8184871604941	2,28E-08	6.36434795308599e-06	BH	0.25*groupastrocite_cerebell:h -1*groupCardiac_Myocyte:h 0.25*groupHepatocyte:h 0.25*groupMeningeal_cells:h 0.25*groupSchwann_cells:h	glm
6958	NKD2	-6.17375770873193	4.18019723110032	73.06073130941	2,37E-08	6.44688717337272e-06	BH	0.25*groupastrocite_cerebell:h -1*groupCardiac_Myocyte:h 0.25*groupHepatocyte:h 0.25*groupMeningeal_cells:h 0.25*groupSchwann_cells:h	glm
8457	TIMP1	-4.38450528401504	11.2920715227281	53.7575353717844	3,32E-08	8.83276983480772e-06	BH	0.25*groupastrocite_cerebell:h -1*groupCardiac_Myocyte:h 0.25*groupHepatocyte:h 0.25*groupMeningeal_cells:h 0.25*groupSchwann_cells:h	glm
8636	IL6	-5.71754574412012	3.86243923944181	73.2180025692719	3,40E-08	8.85378104262614e-06	BH	0.25*groupastrocite_cerebell:h -1*groupCardiac_Myocyte:h 0.25*groupHepatocyte:h 0.25*groupMeningeal_cells:h 0.25*groupSchwann_cells:h	glm
4464	ADD3	-3.54493531926463	6.6463487999418	53.2359159887729	3,65E-08	9.30204557711721e-06	BH	0.25*groupastrocite_cerebell:h -1*groupCardiac_Myocyte:h 0.25*groupHepatocyte:h 0.25*groupMeningeal_cells:h 0.25*groupSchwann_cells:h	glm
6008	THBS2	-4.20088957451309	7.05790019034497	53.0277196810446	3,80E-08	9.35885113716314e-06	BH	0.25*groupastrocite_cerebell:h -1*groupCardiac_Myocyte:h 0.25*groupHepatocyte:h 0.25*groupMeningeal_cells:h 0.25*groupSchwann_cells:h	glm
3543	CSGALNACT1	-4.51840482852445	2.98196143267665	52.9734461418256	3,83E-08	9.35885113716314e-06	BH	0.25*groupastrocite_cerebell:h -1*groupCardiac_Myocyte:h 0.25*groupHepatocyte:h 0.25*groupMeningeal_cells:h 0.25*groupSchwann_cells:h	glm
6037	CFD	-9.31209107546097	6.19919342239221	59.0410438996183	4,31E-08	1.03084403866418e-05	BH	0.25*groupastrocite_cerebell:h -1*groupCardiac_Myocyte:h 0.25*groupHepatocyte:h 0.25*groupMeningeal_cells:h 0.25*groupSchwann_cells:h	glm
7583	MELTF	-4.30738038234418	3.0222125758888	55.4747584963933	4,66E-08	1.09318417387608e-05	BH	0.25*groupastrocite_cerebell:h -1*groupCardiac_Myocyte:h 0.25*groupHepatocyte:h 0.25*groupMeningeal_cells:h 0.25*groupSchwann_cells:h	glm
9822	PLCL1	-4.77355662603353	3.1230435670987	51.4589428615678	5,09E-08	1.16990739507725e-05	BH	0.25*groupastrocite_cerebell:h -1*groupCardiac_Myocyte:h 0.25*groupHepatocyte:h 0.25*groupMeningeal_cells:h 0.25*groupSchwann_cells:h	glm
10001	SYNPO2	-3.91713162019501	3.57998950920806	50.4928116966471	6,12E-08	1.37903563963471e-05	BH	0.25*groupastrocite_cerebell:h -1*groupCardiac_Myocyte:h 0.25*groupHepatocyte:h 0.25*groupMeningeal_cells:h 0.25*groupSchwann_cells:h	glm
9851	GSTM3	-2.6439296966925	5.80726411693694	50.1069048883508	6,59E-08	1.42822307773698e-05	BH	0.25*groupastrocite_cerebell:h -1*groupCardiac_Myocyte:h 0.25*groupHepatocyte:h 0.25*groupMeningeal_cells:h 0.25*groupSchwann_cells:h	glm
3043	TFPI2	-4.4665453227773	6.88496094597047	50.0646828325822	6,64E-08	1.42822307773698e-05	BH	0.25*groupastrocite_cerebell:h -1*groupCardiac_Myocyte:h 0.25*groupHepatocyte:h 0.25*groupMeningeal_cells:h 0.25*groupSchwann_cells:h	glm
1597	SLITRK4	-4.66694744465067	2.44283468235387	53.2597428636086	6,81E-08	1.42822307773698e-05	BH	0.25*groupastrocite_cerebell:h -1*groupCardiac_Myocyte:h 0.25*groupHepatocyte:h 0.25*groupMeningeal_cells:h 0.25*groupSchwann_cells:h	glm
11089	ART4	-5.1831693272414	3.75601614984916	59.6653665736188	6,83E-08	1.42822307773698e-05	BH	0.25*groupastrocite_cerebell:h -1*groupCardiac_Myocyte:h 0.25*groupHepatocyte:h 0.25*groupMeningeal_cells:h 0.25*groupSchwann_cells:h	glm
9061	CCL2	-4.52358171660012	7.63771421359511	49.8243534123893	6,96E-08	1.43064470819501e-05	BH	0.25*groupastrocite_cerebell:h -1*groupCardiac_Myocyte:h 0.25*groupHepatocyte:h 0.25*groupMeningeal_cells:h 0.25*groupSchwann_cells:h	glm
