table.gene	log*sign
SULT1E1	9,569891421
GLS	9,539416811
PTGER4	-9,532053883
CALHM5	9,531061521
GJA4	9,518809111
CORO6	9,489035771
ECM2	9,458415796
PPT1	9,435957636
HBP1	9,435938283
PAPSS1	9,426337699
ITPR1	9,418771766
MGAT3	9,407409355
LAMB1	9,391525069
COLEC12	9,38858612
THBS1	9,374741292
CXCL2	9,33855042
ITGB1	9,321181349
SLC7A7	9,317964662
EVI2B	9,311302764
PLXDC2	9,30604126
SLC19A3	9,302528942
GAS1	9,296903494
GXYLT2	9,279865149
CUL4B	9,272362197
MR1	9,266032233
PTGIR	9,263748054
CASP1	9,257764544
COL12A1	9,245543843
C1QTNF5	9,236942122
NFE2L2	9,228781045
SMOC1	-9,216401387
NT5E	-9,204480642
UNC5C	9,199085144
TRPS1	9,187860406
NRCAM	9,186699619
ROR2	9,184530322
GRAMD2B	-9,153422169
CD82	-9,144376379
STAT6	9,143433566
ST3GAL1	9,137989012
FBXO32	9,126526509
MGARP	9,124934589
PABPC4L	9,103366449
LMOD1	9,086441995
EREG	9,08587095
SLC27A3	9,084752159
A1BG	-9,084273174
MBOAT2	9,068611098
RBP4	-9,062395229
FARP1	-9,056497454
CYB5A	9,049792136
VWF	9,038083255
PLOD2	9,031773501
EGR1	8,945901803
CARD6	8,935178765
NGEF	-8,90904384
MSC	8,895507221
PTGFRN	8,889704562
SHOX2	8,844809611
CLDN1	-8,82470349
CEMIP	8,810792184
ITM2B	8,780874109
EPS8L2	-8,76551304
MBNL3	8,750200035
YPEL4	8,748158823
NAB2	8,735583415
GRAMD1A	8,714063682
CRISPLD1	8,706473963
FERMT2	8,706369308
ME1	8,662319206
MOV10L1	8,631291604
ANTXR1	8,626967223
GALNT12	8,611210259
MAOB	8,588663886
JUNB	8,582499797
ALDH1A2	8,564186455
SNRPD2	8,553612266
ARID5B	8,549591607
RBBP7	8,541372441
VPS26A	8,538000281
TPI1	8,531375776
ARHGDIB	8,481929077
SLC41A2	8,481906904
IL15RA	8,477013282
MMD	8,475544337
EIF1AY	8,470952623
CD55	8,467713898
POLR2M	8,454762312
KIZ	8,451639056
PRRG1	8,43248921
CTSK	8,410093713
NAV2	-8,406617726
VWCE	8,376071998
PGM2	8,368753044
VSIR	8,354981577
TBX5	8,353135505
ID1	8,32906874
ERP44	8,322765405
CCN5	8,318530904
PLXNA4	8,291578847
HR	8,281876196
B3GNT9	8,278390245
TCEAL1	8,276991071
JRK	-8,267366005
TSPAN13	8,264027676
PDPN	8,240452292
TLE2	8,239472711
TRPC4	8,226959275
STXBP6	8,22172899
DENND2A	-8,218864995
ZFP36	8,204879387
CAMK2D	8,20127746
LPIN2	-8,192688114
MPP1	8,189874956
ADAMTS5	8,189375127
FANCA	-8,186120881
FBN2	8,165596483
CAVIN2	8,154094911
MYCT1	8,153137375
SOX4	8,133441002
FNTA	8,128328765
SMAD9	8,100019582
COL3A1	8,064316426
SNX4	8,063604074
IFIT1	8,061717101
USP33	8,054522739
CFAP300	8,0422203
CEACAM1	8,022670293
GYS1	8,018658245
DOK5	8,01575479
PRSS53	-8,003751779
PAPLN	7,984464946
TWSG1	7,9822781
KIFC3	-7,973756454
CTSC	7,965442974
NR4A3	7,952038169
GATA6	7,944283642
C1QTNF6	7,923954022
CREBRF	7,912527271
CLCN5	7,893717057
CAMK1D	-7,89005136
PCYOX1	7,889967929
INTS6L	7,888334188
DDR1	7,887259919
TNC	-7,877478459
ALDH1A3	7,872572747
FAM20A	7,86892635
CYFIP2	-7,838308166
PPIC	7,834439427
IQCA1	7,817724232
RPS4Y1	7,796979226
PGAP4	-7,795016037
INAFM1	7,786218486
EVA1C	7,782558323
ZC3H18	-7,78174208
PEMT	-7,777636063
GBE1	7,769604758
FILIP1L	7,768453974
ZBTB44	7,759727304
MTMR2	7,759437383
PDK4	7,757404568
TNNT2	7,743861933
TFPI	7,732949056
SLC16A3	7,699637387
SPON2	7,6804909
SSC5D	7,680330525
KCNK6	7,675633057
ADAM10	7,647046262
SHMT1	-7,637230766
CCL11	7,624387297
ZBTB1	7,616279903
PIK3C2A	7,59810365
PTEN	7,598022073
ARHGEF3	7,597855033
UCP2	-7,5978484
FLI1	7,589537212
IRAK1BP1	7,577956128
SLC25A12	7,577747629
SAP130	-7,568943222
INKA2	7,562654381
FLRT2	7,558109732
PTK2B	7,557154075
DOCK1	7,549427637
CALU	7,543544195
IQSEC3	7,542343293
PTPRQ	7,539832928
ANK3	7,523804495
PCDH18	7,523661687
KHK	-7,522255447
CEP85	-7,521862248
WDR19	7,519956134
NMI	7,51494784
SERPINH1	7,506248502
MAPRE3	7,504542914
COG6	7,49152937
ITIH5	7,483987971
C1R	7,479043099
P2RX1	7,470872326
SYN1	7,463732156
MARCKSL1	7,443554342
PDCD4	7,443134266
YIPF5	7,427174018
TAGLN	7,426585968
PRCP	7,409697355
APBB1IP	7,401326849
CHERP	-7,399281664
CADM1	-7,395786305
GATA5	7,395619826
SNX16	7,395297737
EPHB6	7,389877482
ABRAXAS1	7,386963864
GFRA1	-7,370970964
PSD4	-7,336074808
RGS12	-7,333218421
CALHM2	7,330302066
EBF3	7,328174406
HAPLN1	7,306874942
DACT3	7,29260987
SERHL2	7,290884947
PCBP3	7,281696362
COX17	-7,280563575
RAPGEF5	7,278868684
DZIP1	7,274056681
ACP3	7,257441104
HIPK3	7,250894132
GALC	7,24221975
GAB3	7,233647327
TMEM45A	7,232826028
DNER	-7,223816537
ADGRD1	7,209876177
PLK2	7,207748283
COL9A3	7,206791972
CHST1	7,206417407
ADORA2B	7,203720419
CHST11	7,192193463
CLIP4	7,190812731
ANXA1	7,16405413
VGLL3	7,155901033
ADAMTS2	7,153644453
FGL2	7,139767914
TIMELESS	-7,118070595
ACACB	-7,108832093
UBASH3B	-7,09547051
NID2	7,087442279
SIPA1L3	-7,083838467
ARHGAP25	7,064087573
GAREM2	7,059740672
SGCE	7,049848684
ELOVL2	7,047500058
DHX40	7,042855693
TOP3B	-7,040886775
IDH1	7,037992797
CHAF1A	-7,034782619
LRG1	7,023981797
SERPING1	7,014730636
C2CD4B	7,009778324
ERCC6	6,99627366
SMOX	6,993614925
SERPINB1	6,989215382
ARRDC3	6,983450886
SLC37A4	-6,977623149
LRCH2	6,976168281
RNLS	6,97276133
RANGAP1	-6,956596672
GNA14	6,947394867
SSX2IP	6,944732156
FKBP7	6,932285101
IL18R1	6,92230331
SPATS2	6,912823467
DPCD	6,909114388
DNAJC13	6,906251445
NIBAN1	6,903375434
SPHK1	6,900948217
MDK	6,873892687
PF4	6,868110479
IGF2	-6,859292778
MRAP	6,83928927
GTF3C2	-6,837103741
CDK5R2	6,826399279
SCRG1	6,8130187
ATXN1	6,796669259
RPL5	6,780280158
MFAP4	6,777761885
CPSF7	-6,775256853
TMTC2	6,77473148
SCN1B	6,771898886
BCL6B	6,770665411
CORO1A	-6,766155005
MAP9	6,765116815
TBL1XR1	6,74821054
LINGO1	6,746543385
PLXNC1	6,741119936
FIBIN	6,717900639
DAPK1	6,716458842
VTN	6,707041331
SPARCL1	6,704359281
GPRC5B	6,695910622
TMEM106A	-6,688613454
COL5A1	6,681401003
RAB8B	6,68107419
ASAP2	6,665144515
IFT80	6,662044467
NETO1	-6,659335563
EMP1	6,657940586
DPYSL3	6,651254685
SEPTIN7	6,65039478
PARVA	6,643150202
SLC7A11	6,637578684
TEDC1	-6,632552481
FGD6	6,605388172
STEAP4	6,601355764
CPD	6,601140116
MMP19	6,587177652
AGFG1	6,586901508
KLHL24	6,58630593
DUSP6	6,581771138
DDX11	-6,581334632
GPR37	-6,571680646
RAPGEF4	6,5686052
ACSL4	6,550813987
PHYHD1	6,54010234
MEX3B	6,538980351
SEPTIN4	6,535428728
HSD17B11	6,522615801
STAT5A	6,519801989
GPR89A	6,516043386
GPR89B	6,516043386
AK4	6,50452157
ACAP3	-6,504402553
SCRN1	6,497100264
BDH1	-6,485723784
TRIM33	6,484842507
MAP7D3	6,4786611
MYOZ2	6,476263152
NUCB2	6,446601145
PTGDS	6,440032269
KLHDC8B	6,416021618
MAPK13	6,415376444
SYF2	6,410499616
PLTP	6,408239993
SPATC1L	6,400533503
CLIC3	6,399080666
STK38L	6,394729888
SCPEP1	6,385570118
KDM5B	6,379700691
FRAS1	6,376226531
HS3ST3B1	-6,375615889
ICA1L	6,374462007
FBRSL1	-6,373526493
EBF1	6,368000653
ACE	6,365692785
ICAM2	6,363932741
ADAM9	6,35406775
HEG1	6,345941283
ANGPTL2	6,331821125
PTGES	6,328541434
SORD	-6,317159043
RASSF9	6,316146663
QSOX1	6,312083532
CD164	6,312050162
P4HA2	6,288213021
SNX32	6,28257175
HIVEP2	6,280698722
PYCARD	6,274408824
PCDH10	6,273500339
MORF4L2	6,265787436
EXOC6B	6,247640601
UBE2D1	6,244445176
TRANK1	6,229819861
DNAJC10	6,229307013
PIGL	-6,227955276
RAP2A	6,224200678
METTL7A	6,216932562
GPCPD1	6,212250477
PHLDA3	6,194540296
ACSM5	6,191874228
CENPX	-6,168629548
KCNN4	-6,16476701
SEMA6B	6,146481532
PGD	6,146376031
ID3	6,140225806
REXO2	6,138854007
TMOD2	6,127547899
GPC3	6,089907076
LYL1	6,067978306
PLCD4	6,066607334
PDE4DIP	6,061658038
HSPA12A	6,057645793
SLC41A1	6,048562373
SPOCK3	6,044457629
ARHGEF10L	-6,040862359
MCTP1	-6,036957551
CDON	6,036239646
ALCAM	-6,032874956
UBR5	6,008138262
SAT1	6,008088126
GLG1	5,993745196
HIF3A	5,992614752
PRKCH	5,991546717
KIAA1143	5,990449475
CTSO	5,986434384
ARMC6	-5,978688925
APLN	5,968848644
KIF26B	5,968597971
NR1H4	5,955272616
ANKIB1	5,951102669
HOMER1	5,950365356
PLEKHG2	5,936693179
THUMPD1	5,934730663
WASHC3	5,933739676
KYAT1	-5,924617252
UNG	-5,923606849
IGFBP1	-5,903580621
CCDC39	5,894359119
GALNT7	5,882691848
DDX3Y	5,877405532
ALDH3B1	5,875562994
ITGA2	5,867489348
PPP1R14A	5,853964423
RBPMS	5,85068434
RAB11A	5,845027988
OSMR	5,841365571
GBP2	5,839174302
DIPK2B	5,837566015
TOR1AIP1	5,836070694
RPS6KA3	5,829174495
RCN1	5,827054892
PLPP7	5,82318914
PRSS12	-5,822065347
AKR1C2	5,813124886
SAMD8	5,809088627
LEPROT	5,799543928
PGM1	5,799252812
CEP126	5,796703899
RGS2	5,782555685
MPZL1	5,779987857
NFIA	5,779925358
IFT57	5,771629624
ARHGEF25	5,768240311
SPARC	5,753144164
ALDH1L1	5,74936841
SNAI1	5,746352493
POPDC3	5,743303093
CARD11	5,739429591
BBOF1	5,738660141
DPYSL4	5,735882623
S1PR1	5,72417106
RARG	5,716922966
STX17	5,707822622
SLC20A2	-5,701069993
ICAM1	5,70062346
CZIB	5,696073084
ARNT2	-5,692524265
HENMT1	5,691348922
HSPG2	5,68825942
NEIL2	-5,687229051
NCOA3	5,68374556
SSBP2	5,68251574
AEN	-5,679052574
FOXO1	5,675332928
SCRIB	-5,670298734
SERINC2	-5,668357971
CPEB2	-5,6599192
RHOBTB3	5,658715221
SCAF11	5,655723514
NHSL1	-5,654365629
EPG5	5,654076217
FERMT3	5,648327939
PLSCR1	5,643526965
SEPTIN2	5,643043199
HAS2	5,637814456
THY1	5,624847322
CYP26B1	5,624313904
WDR66	5,616267168
NUFIP2	5,615234909
SPRYD4	-5,612848782
SLC40A1	5,612587484
EML3	5,610772807
KCNIP3	5,61071696
AGMAT	-5,60111488
MAP3K12	5,598684611
S100A3	5,592358727
RASSF8	5,584651122
CD40	5,582310173
YPEL2	5,577698867
REM1	5,576574889
LRIG3	-5,572606081
SEMA5A	5,571208893
ZC2HC1A	5,565151615
NXPE3	5,561995318
OXCT1	5,559085701
MMP1	5,557009512
SOCS5	5,555146127
EIF4G1	-5,548882628
AMOT	-5,548056633
CD248	5,544305298
SNCG	5,541740494
AMMECR1	5,538352551
HCFC2	5,538033154
GALNT9	5,534085626
LMAN1	5,532328406
PRKG2	5,530483243
TRAP1	-5,529917292
GAL	5,524783237
ARPC5	5,52062912
TNS1	5,516835987
MOXD1	5,515767645
EIF2S2	5,51455495
TOX	-5,503997061
BACH2	-5,496429637
ALDH4A1	-5,488286249
HTATIP2	5,487673028
SCAF4	-5,48552714
POLA2	-5,485415302
TTYH2	5,47504624
RGP1	-5,467595443
F2R	5,465780774
HLA-DOA	-5,465686707
ASPA	5,457815654
CDH11	5,452087746
PAIP2	5,452081612
SGMS2	5,448178802
CAVIN3	5,44774736
ROM1	5,444805666
UCHL1	5,442939523
MYL9	5,441299352
PRDX6	5,440968189
DCAKD	-5,435148196
CDC73	5,429628448
AGPAT5	5,429147763
CLIC4	5,42678982
SHE	5,424402945
STAMBPL1	5,418158555
HS2ST1	5,41653603
AKNA	-5,395920259
CEMIP2	5,395470361
TRIO	-5,395005511
WDR27	-5,392143426
HLX	5,390176738
GPR1	5,388999967
MKLN1	5,375872296
SULF2	5,368526229
SNX2	5,366894535
GBA2	-5,365748865
ZNF202	-5,35880876
FRMD5	-5,347314927
COMP	5,346032522
WIPI1	5,342719422
NFE2	5,331025623
NOVA1	5,323860222
MGST1	5,319608695
FSTL1	5,314444734
JCAD	5,31008906
ATP1B3	5,30799756
ADAMTSL2	5,304918092
PEX11A	5,299397662
TMEM232	5,296161921
CFAP69	5,291951105
LSAMP	5,287437409
SLC16A4	5,286471011
PDE8A	-5,285652637
NGLY1	5,285581362
HOMER2	-5,283977675
FKBP10	5,279912357
SLCO3A1	5,276380964
KANK2	5,275855708
ST6GAL2	-5,275422095
SLC5A6	-5,272622655
PHLDB1	5,271450275
FRK	5,260633812
MMP14	5,259140191
SLC25A22	-5,256702798
JAM3	5,250184346
TNPO1	5,246488693
ENAH	5,246149915
SOS1	5,245534376
KLF9	5,235509314
PKHD1L1	5,233173354
RCSD1	5,231468082
ATP2B4	5,228860278
PIK3CG	5,22844864
PRRX1	5,22676467
NBL1	5,2206266
PTCD2	5,211879851
OLFML2A	-5,211111376
ARHGAP18	5,210122597
FAM102B	5,209752442
DIAPH1	-5,207196499
GBGT1	5,202054392
TRIM62	-5,197060096
KIF22	-5,196981308
NFASC	5,19417039
NFIB	5,190967311
CADM4	-5,187419686
DIPK1A	5,186875112
SPR	5,183540973
CHDH	-5,182016278
NUBPL	5,180690826
PTCD3	5,180503359
CFI	5,179485533
USP15	5,179473622
SMARCA1	5,177974769
SLC9A3R1	-5,177411382
SLC38A2	5,170135072
ZNF235	-5,156982827
ACYP1	-5,15488592
SLC20A1	5,153209591
RMDN3	-5,150520419
AFF3	-5,14836873
ZEB2	5,144653051
DENND3	-5,141712222
CFAP36	5,13701396
SCAMP1	5,130300568
NIPSNAP3A	5,129994092
ARHGAP22	-5,12775413
LRRC6	5,122347964
IRS1	-5,115473729
SLIT2	5,111017341
DHX38	-5,109690623
FBXW7	5,109152064
GATM	-5,107236965
EFS	5,103038534
COPS4	5,094623922
KDELR3	5,093402685
ENPP1	-5,092958654
FMR1	5,087809453
ABHD2	-5,083097832
MCM5	-5,080802012
KLHL8	5,076996613
ZNF442	5,074730548
RTL8B	5,064538383
PHLPP1	-5,055305218
P3H3	5,054821505
SEC11C	-5,053340865
NUMA1	-5,044866201
CDC42EP2	5,041277831
TWIST2	5,040029117
ITGB4	-5,038883564
BRWD3	5,035369425
MFGE8	5,035279824
DGKA	5,035117353
STK4	5,022866421
RCN3	5,022579481
DYNC2H1	5,020355953
P4HA1	5,016385051
PTBP3	5,015148805
HSPB8	5,008356046
SDC2	-5,008107906
ZFP36L1	5,007542316
THYN1	5,006324602
NXPH4	5,005811466
KCNJ2	-4,999101218
NKAPD1	4,997299109
TRIB1	-4,991375018
RBM14	-4,990381404
ZFPM2	4,988481777
CEP19	4,985886958
TBC1D8B	4,985735403
LDHB	4,981266557
DLG4	4,977727358
TFEB	-4,973110479
SPAG4	4,971561233
SLC9A9	4,97063527
SERPINB9	4,968376551
PCDH12	4,96802403
CCDC71L	4,962687335
SNCAIP	4,960941538
IGFBP5	-4,957681437
EPHB1	-4,953722515
MMP2	4,939742752
NCK1	4,939369419
GLB1L	4,92687606
AJUBA	-4,923144842
PAFAH2	-4,917031344
SPRED2	-4,914390563
ARSJ	4,914277513
SP1	4,914246847
DSE	4,910898161
SOAT1	4,903214652
SPINT1	4,899043454
EIF3H	4,890416708
VAMP2	-4,890015112
SH3TC1	4,883406036
SH3BGRL	4,881277335
PTPN13	4,879665836
ZFC3H1	4,877376419
RAI14	4,874768967
TACC2	-4,870623841
PALMD	4,869769595
RSL24D1	4,867753805
MCM4	-4,866226739
BBX	4,848832631
RAB36	4,843504749
GFOD1	4,837487695
SOD3	4,835621579
WNT5A	-4,835412645
ADH5	4,835038089
ZFP36L2	4,833011788
TMEM88	4,832582883
SLC45A1	4,825587711
PANX2	4,824684741
GNG12	4,822459675
STARD13	-4,818517047
PDGFRB	4,815403401
PLCD1	4,814970974
DSC2	4,812468012
NUMBL	4,808287374
HSF4	4,80472999
SUSD3	4,803635091
FTH1	4,801809379
TCF19	-4,798727773
COL5A3	4,798566245
SIGLEC15	-4,79816084
IRF2BPL	4,797096009
PGAM5	-4,793682759
KDSR	-4,792600732
SLC37A2	-4,791655278
TMEM131L	4,791634387
HPS4	-4,791168965
IL1RAP	4,790698348
CNOT6	4,789886166
ATP6V0E2	-4,787518292
STAM2	4,787380549
DHX16	-4,785973717
HK1	4,782474331
ERMP1	4,781310524
EPSTI1	4,778911312
MID1	4,777442614
PTP4A2	4,776176905
ATP11C	4,775979047
GUCY1A2	4,771323178
AHNAK2	-4,769897036
LRRC20	-4,768990203
CYBRD1	4,757049486
HTRA3	4,755954921
PEG3	4,754395916
AFMID	-4,751955503
ANPEP	-4,751455785
BLVRA	4,745507214
TAX1BP1	4,74233128
FBXL2	4,73735049
PPP2R3A	4,735226818
HGSNAT	4,728543409
HINT2	-4,728103343
CCDC152	4,72725408
DDIT4L	4,726526629
ZNF334	4,724862048
LMCD1	4,724739809
PDLIM1	4,724317649
GPNMB	4,714974756
CPXM1	4,713559362
PLAGL1	4,71323091
NTNG2	4,712703161
LRRC1	4,710380044
SELENBP1	4,71018723
PIK3IP1	4,70603377
EVC	4,705933475
ARL14EP	4,704441324
NPR3	4,702087184
PHACTR4	-4,701454534
SLFN5	4,701048248
REST	4,699990427
MALL	4,699649609
ACHE	-4,698739333
RBM7	4,697115443
RAB18	4,695850177
ARHGAP33	-4,694945816
MTPN	4,692094658
ZNF444	-4,690978508
ADAMTS3	4,689856616
MYOF	4,689538928
AADAT	-4,689422318
ATP6AP2	4,687887086
MAP2K4	4,687875076
TM6SF1	4,685543926
MLF1	4,681080133
GTF2H5	4,679871409
MTHFD2	4,679409322
ATL1	4,676373269
MAGI2	4,676208023
CEP120	4,671964397
LCAT	-4,670960361
TMEM164	4,668180921
SPATA33	-4,665923826
LYN	4,665665726
CDC42EP5	4,657915513
SLC25A25	-4,657257181
MPP4	-4,650551963
NFATC4	4,6495426
CES1	4,649287627
HDDC2	4,647844026
SVIL	-4,646895864
MYLIP	4,638625318
SESN3	4,631177655
SNAP25	-4,625894783
SIDT2	4,619576192
LIG1	-4,619438988
SLC4A3	4,614962644
AIG1	-4,613332386
SALL1	-4,611846425
PNRC2	4,611601326
BEND5	4,6056509
DARS1	4,605634267
S100A6	4,604906142
CDK7	4,601403694
SP2	-4,597635734
TBC1D32	4,595973741
RGS17	4,590812675
CRABP2	4,590735963
MPV17L	-4,589657464
CPLANE1	4,588686491
CHST7	4,585214282
ATP6V1E1	4,582040281
TMEM144	4,578545937
NBR1	4,578163065
FANK1	4,576346259
SRPK2	4,573888867
ZFP37	4,569936876
EIF5A2	4,566248027
TMEM37	4,565146594
DPP9	-4,56476497
PPIL6	4,563342104
NTM	-4,561975786
USP34	4,561029918
VAPA	4,559962799
RPSA	4,557015452
SAMD9L	4,556027282
CAPZA1	4,554369717
PHLDA2	-4,550743739
MRPL32	4,545549931
PAPSS2	4,545237053
MEIS3	4,545122505
DLG2	-4,542884529
GINM1	4,536855424
MAD2L2	-4,536586713
ATP2C1	4,536326902
MEX3D	-4,535499382
POGLUT1	4,531896997
UFSP2	4,530395829
ADGRL3	4,52796359
IQSEC1	-4,522175961
METAP2	4,519492094
TSHZ2	4,519075959
TOMM40L	-4,518722813
UIMC1	4,515914793
PRKAA2	-4,515071123
ZFPM1	4,50724915
RECK	4,50648128
TJP2	4,506466638
FAIM2	4,505426102
OAS2	4,503350685
EPB41L5	-4,503217509
PLEKHA2	4,49862495
IQCK	4,498386103
MRPS6	-4,497826115
HAGH	-4,497041898
CYP1B1	4,496545311
SP110	-4,496442331
PLS1	-4,495331206
SFRP1	-4,493942792
RGMB	-4,493535207
PMEPA1	-4,488055232
PLD1	4,48789609
GSTT2	4,486860597
NANOS1	4,48455339
PNRC1	4,483409895
POLE	-4,483036688
EMC3	4,482001116
STRADA	-4,479722629
ME2	4,477908451
ITGA6	-4,476991028
SLC5A3	-4,476234365
ADGRB3	4,47514041
STX1A	-4,470668226
FYTTD1	4,466536739
ACAP2	4,462659096
RAB38	4,462624582
EIF4A3	4,462188456
FAM241A	4,461475941
AOC3	4,454561288
PALM	4,454035486
DHCR24	-4,453783272
LGALS3	4,450553661
SIX2	4,449451262
THEM6	-4,448213741
CHSY1	4,447052966
OSR1	4,445543466
CSDC2	4,436693404
